Rank,Name Country/Region,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1501+,University of RwandaRwanda,10.5–25.1,13.4,13.6,19.1,19.8,57.9
1501+,"University of Santiago, Chile (USACH)Chile",10.5–25.1,16.0,15.1,27.5,28.1,46.5
1501+,University of Santo TomasPhilippines,10.5–25.1,19.8,9.7,33.6,20.4,64.4
1501+,University of SarajevoBosnia and Herzegovina,10.5–25.1,20.2,11.2,20.8,26.6,28.7
1501+,University of Science and Technology of Oran Mohamed-BoudiafAlgeria,10.5–25.1,24.7,7.2,9.8,17.8,31.2
1501+,University of Sciences and Technology Houari BoumedieneAlgeria,10.5–25.1,16.5,8.5,15.2,25.0,33.5
1501+,University of ShizuokaJapan,10.5–25.1,23.1,13.0,15.4,57.1,27.0
1501+,University of Silesia in KatowicePoland,10.5–25.1,24.0,14.4,25.7,23.3,31.3
1501+,University of Sistan and BaluchestanIran,10.5–25.1,20.1,11.3,25.8,21.6,23.5
1501+,University of SonoraMexico,10.5–25.1,13.8,8.4,13.7,28.2,33.8
1501+,University of SousseTunisia,10.5–25.1,26.1,10.2,32.1,21.8,41.3
1501+,University of Sri JayewardenepuraSri Lanka,10.5–25.1,12.3,9.2,38.0,17.7,36.4
1501+,University of SzczecinPoland,10.5–25.1,24.2,18.9,28.1,16.6,32.2
1501+,University of TaipeiTaiwan,10.5–25.1,17.1,17.1,14.8,29.3,33.9
1501+,University of TalcaChile,10.5–25.1,18.1,14.2,33.4,34.4,52.1
1501+,"University of the Andes, ChileChile",10.5–25.1,20.8,15.3,31.1,20.9,48.7
1501+,"University of the Andes, VenezuelaVenezuela",10.5–25.1,20.7,8.8,10.5,24.0,50.0
1501+,"University of the North, ColombiaColombia",10.5–25.1,18.8,14.0,29.4,24.6,51.1
1501+,University of the RyukyusJapan,10.5–25.1,25.4,13.5,25.4,38.4,38.7
1501+,University of Thi-QarIraq,10.5–25.1,18.5,8.8,14.3,16.4,30.3
1501+,University of TunisTunisia,10.5–25.1,30.9,10.4,22.7,25.4,38.6
1501+,University of ValparaísoChile,10.5–25.1,16.5,12.5,21.9,18.9,46.7
1501+,University of VendaSouth Africa,10.5–25.1,20.4,26.0,18.1,17.6,46.6
1501+,University of Warmia and Mazury in OlsztynPoland,10.5–25.1,18.2,15.2,40.4,24.8,23.9
1501+,University of West AtticaGreece,10.5–25.1,9.6,10.5,37.6,26.5,24.4
1501+,University of Western MacedoniaGreece,10.5–25.1,12.5,13.4,42.1,28.1,28.4
1501+,University of YamanashiJapan,10.5–25.1,28.9,13.4,21.3,47.8,29.2
1501+,University of ZambiaZambia,10.5–25.1,15.1,9.9,29.2,21.4,55.3
1501+,University of ZanjanIran,10.5–25.1,19.3,10.0,37.9,22.8,28.3
1501+,University of ZimbabweZimbabwe,10.5–25.1,14.2,10.6,39.3,21.0,50.9
1501+,Uşak UniversityTurkey,10.5–25.1,12.4,10.4,24.0,16.6,32.2
1501+,"Usmanu Danfodiyo University, SokotoNigeria",10.5–25.1,15.0,8.1,35.7,16.0,47.4
1501+,Utsunomiya UniversityJapan,10.5–25.1,21.0,12.2,9.2,30.7,28.6
1501+,Uzhhorod National UniversityUkraine,10.5–25.1,17.9,9.1,6.2,16.8,40.2
1501+,Vali-e-Asr University of RafsanjanIran,10.5–25.1,12.9,10.2,32.6,19.2,22.9
1501+,Van Yüzüncü Yil UniversityTurkey,10.5–25.1,21.8,22.0,20.8,37.9,22.2
1501+,Vasyl Stefanyk Precarpathian National UniversityUkraine,10.5–25.1,14.2,9.4,20.1,16.0,22.4
1501+,Vietnam National University (Ho Chi Minh City)Vietnam,10.5–25.1,14.2,12.7,29.6,40.5,35.1
1501+,"Vignan’s Foundation for Science, Technology and ResearchIndia",10.5–25.1,21.7,7.9,34.9,20.8,24.0
1501+,Vinayaka Mission’s Research FoundationIndia,10.5–25.1,26.8,8.4,42.3,16.1,17.9
1501+,V.N. Karazin Kharkiv National UniversityUkraine,10.5–25.1,26.3,10.9,9.2,40.0,47.2
1501+,Volgograd State Medical UniversityRussian Federation,10.5–25.1,23.9,9.2,5.0,17.5,40.4
1501+,Volgograd State Technical UniversityRussian Federation,10.5–25.1,19.2,9.9,13.9,19.1,29.8
1501+,Volgograd State UniversityRussian Federation,10.5–25.1,21.1,13.6,22.6,16.1,26.4
1501+,Voronezh State Technical UniversityRussian Federation,10.5–25.1,20.5,8.2,21.8,18.9,26.4
1501+,Voronezh State UniversityRussian Federation,10.5–25.1,24.8,11.0,6.6,17.8,35.3
1501+,Wasit UniversityIraq,10.5–25.1,16.3,9.0,43.0,16.2,28.1
1501+,Wrocław University of Environmental and Life SciencesPoland,10.5–25.1,22.2,14.1,32.7,37.7,32.3
1501+,Yamaguchi UniversityJapan,10.5–25.1,28.2,13.9,22.3,58.2,32.0
1501+,Yanbian UniversityChina,10.5–25.1,15.4,9.4,24.4,25.6,21.9
1501+,Yanshan UniversityChina,10.5–25.1,20.2,12.0,39.7,49.1,20.6
1501+,Yeditepe UniversityTurkey,10.5–25.1,20.5,12.1,22.1,49.6,40.1
1501+,Yerevan State UniversityArmenia,10.5–25.1,24.8,8.8,8.7,20.9,39.0
1501+,Yuriy Fedkovych Chernivtsi National UniversityUkraine,10.5–25.1,18.0,9.8,8.8,17.2,28.5
1501+,Zonguldak Bülent Ecevit UniversityTurkey,10.5–25.1,12.5,11.1,25.1,19.3,29.3
Reporter,2iE - International Institute for Water and Environmental EngineeringBurkina Faso,,,,,,
Reporter,Abai Kazakh National Pedagogical UniversityKazakhstan,,,,,,
Reporter,Abbes Laghrour University of KhenchalaAlgeria,,,,,,
Reporter,Abdelhafid Boussouf University Center of MilaAlgeria,,,,,,
Reporter,Abdullah Gül UniversityTurkey,,,,,,
Reporter,Abertay UniversityUnited Kingdom,,,,,,
Reporter,Abia State UniversityNigeria,,,,,,
Reporter,Abrar UniversitySomalia,,,,,,
Reporter,Academia BAI - Instituto Superior de Administração e FinançasAngola,,,,,,
Reporter,AECC University CollegeUnited Kingdom,,,,,,
Reporter,Ahlia UniversityBahrain,,,,,,
Reporter,Ajeenkya DY Patil UniversityIndia,,,,,,
Reporter,Akhmet Yassawi UniversityKazakhstan,,,,,,
Reporter,Akita Prefectural UniversityJapan,,,,,,
Reporter,Akli Mohand Oulhadj Bouira UniversityAlgeria,,,,,,
Reporter,Akwa Ibom State UniversityNigeria,,,,,,
Reporter,Al Akhawayn UniversityMorocco,,,,,,
Reporter,Al-Ameed UniversityIraq,,,,,,
Reporter,Al-Ayen UniversityIraq,,,,,,
Reporter,Al-Bayan UniversityIraq,,,,,,
Reporter,Al-Esraa UniversityIraq,,,,,,
Reporter,Alex Ekwueme Federal University Ndufu-AlikeNigeria,,,,,,
Reporter,Al-Farahidi UniversityIraq,,,,,,
Reporter,Algiers 2 UniversityAlgeria,,,,,,
Reporter,Al-Iraqia UniversityIraq,,,,,,
Reporter,Alisher Navo’i Tashkent State University of Uzbek Language and LiteratureUzbekistanExplore,,,,,,
Reporter,Al-Karkh University of ScienceIraq,,,,,,
Reporter,Al-Kitab UniversityIraq,,,,,,
Reporter,AlMaarefa UniversitySaudi Arabia,,,,,,
Reporter,University of ManaraIraq,,,,,,
Reporter,Almaty Humanitarian-Economic UniversityKazakhstan,,,,,,
Reporter,Almaty Technological UniversityKazakhstan,,,,,,
Reporter,Almazov National Medical Research CentreRussian Federation,,,,,,
Reporter,Al-Mustaqbal UniversityIraqExplore,,,,,,
Reporter,Alnoor UniversityIraq,,,,,,
Reporter,Al-Qalam University CollegeIraq,,,,,,
Reporter,Al-Qasim Green UniversityIraq,,,,,,
Reporter,Al-Quds UniversityPalestine,,,,,,
Reporter,Al-Rafidain University CollegeIraq,,,,,,
Reporter,Al Ryada University for Science and Technology - RSTEgypt,,,,,,
Reporter,Al Safwa University CollegeIraq,,,,,,
Reporter,Altoosi UniversityIraq,,,,,,
Reporter,Al-Zahraa University for WomenIraq,,,,,,
Reporter,Al-Zahrawi University CollegeIraq,,,,,,
Reporter,Ambrose Alli UniversityNigeria,,,,,,
Reporter,American University in DubaiUnited Arab Emirates,,,,,,
Reporter,American University in the Emirates (AUE)United Arab Emirates,,,,,,
Reporter,American University of Ras Al KhaimahUnited Arab Emirates,,,,,,
Reporter,"Amity University, ChhattisgarhIndia",,,,,,
Reporter,"Amity University, GwaliorIndia",,,,,,
Reporter,Amity University - KolkataIndia,,,,,,
Reporter,"Amity University, MumbaiIndia",,,,,,
Reporter,Amman Arab UniversityJordan,,,,,,
Reporter,Amref International UniversityKenya,,,,,,
Reporter,Anáhuac UniversityMexico,,,,,,
Reporter,Andijan Machine-Building InstituteUzbekistan,,,,,,
Reporter,Andijan State Medical InstituteUzbekistan,,,,,,
Reporter,Andijan State Pedagogical Institute (ASPI)Uzbekistan,,,,,,
Reporter,Andijan State UniversityUzbekistan,,,,,,
Reporter,Andrés Bello Catholic University (UCAB)Venezuela,,,,,,
Reporter,Anglo-American UniversityCzechia,,,,,,
Reporter,Ankara Science UniversityTurkey,,,,,,
Reporter,Arab American UniversityPalestine,,,,,,
Reporter,Arab Open UniversityKuwait,,,,,,
Reporter,Arak University of TechnologyIran,,,,,,
Reporter,Arish UniversityEgypt,,,,,,
Reporter,Arkin University of Creative Arts and Design (ARUCAD)Northern Cyprus,,,,,,
Reporter,Armenian National Agrarian UniversityArmenia,,,,,,
Reporter,Arts University BournemouthUnited Kingdom,,,,,,
Reporter,Arts University PlymouthUnited Kingdom,,,,,,
Reporter,Arturo Prat UniversityChile,,,,,,
Reporter,Asahi UniversityJapan,,,,,,
Reporter,Asfendiyarov Kazakh National Medical UniversityKazakhstan,,,,,,
Reporter,A'Sharqiyah UniversityOman,,,,,,
Reporter,Ashikaga UniversityJapan,,,,,,
Reporter,Ashoka UniversityIndia,,,,,,
Reporter,Ashur UniversityIraq,,,,,,
Reporter,Astana International University AIUKazakhstan,,,,,,
Reporter,Astana Medical UniversityKazakhstan,,,,,,
Reporter,Atlas UniversityTurkey,,,,,,
Reporter,Atma Jaya Catholic University of IndonesiaIndonesia,,,,,,
Reporter,Atyrau UniversityKazakhstan,,,,,,
Reporter,AudenciaFrance,,,,,,
Reporter,Autonomous University of ChiapasMexico,,,,,,
Reporter,Azerbaijan Medical UniversityAzerbaijan,,,,,,
Reporter,Azerbaijan State University of EconomicsAzerbaijan,,,,,,
Reporter,Azerbaijan Technical University (AzTU)Azerbaijan,,,,,,
Reporter,Azerbaijan UniversityAzerbaijan,,,,,,
Reporter,Azerbaijan University of Architecture and ConstructionAzerbaijan,,,,,,
Reporter,"Bacha Khan University, CharsaddaPakistan",,,,,,
Reporter,Badr University in Cairo (BUC)Egypt,,,,,,
Reporter,Bakrie UniversityIndonesia,,,,,,
Reporter,Baku Engineering UniversityAzerbaijan,,,,,,
Reporter,Baku Higher Oil SchoolAzerbaijan,,,,,,
Reporter,Baku Slavic UniversityAzerbaijan,,,,,,
Reporter,Bandirma Onyedi Eylül UniversityTurkey,,,,,,
Reporter,Barawa International UniversitySomalia,,,,,,
Reporter,Basrah University College of Science and TechnologyIraq,,,,,,
Reporter,Bath Spa UniversityUnited Kingdom,,,,,,
Reporter,Batterjee Medical CollegeSaudi Arabia,,,,,,
Reporter,Bayburt UniversityTurkey,,,,,,
Reporter,Baze UniversityNigeria,,,,,,
Reporter,Beaconhouse National UniversityPakistan,,,,,,
Reporter,Belarusian State Medical UniversityBelarus,,,,,,
Reporter,Belarusian State University of Informatics and RadioelectronicsBelarus,,,,,,
Reporter,Bells University of TechnologyNigeria,,,,,,
Reporter,Benson Idahosa UniversityNigeria,,,,,,
Reporter,Bentley UniversityUnited States,,,,,,
Reporter,Beykent UniversityTurkey,,,,,,
Reporter,Bilad Alrafidain UniversityIraq,,,,,,
Reporter,Birmingham Newman UniversityUnited Kingdom,,,,,,
Reporter,Biruni UniversityTurkey,,,,,,
Reporter,Bishop Grosseteste UniversityUnited Kingdom,,,,,,
Reporter,Bohdan Khmelnytsky National University of CherkasyUkraine,,,,,,
Reporter,Bowen UniversityNigeria,,,,,,
Reporter,Buckinghamshire New UniversityUnited Kingdom,,,,,,
Reporter,Budapest Business SchoolHungary,,,,,,
Reporter,Bukhara State UniversityUzbekistan,,,,,,
Reporter,Bundelkhand UniversityIndia,,,,,,
Reporter,Buriram Rajabhat UniversityThailand,,,,,,
Reporter,Çağ UniversityTurkey,,,,,,
Reporter,"California State University, ChicoUnited States",,,,,,
Reporter,Canadian International College - Cairo Campus of Cape Breton University CanadaEgypt,,,,,,
Reporter,Catholic University in ErbilIraq,,,,,,
Reporter,Catholic University of ÁvilaSpain,,,,,,
Reporter,Cebu Technological UniversityPhilippines,,,,,,
Reporter,Central European UniversityAustria,,,,,,
Reporter,Central Luzon State UniversityPhilippines,,,,,,
Reporter,Centro de Estudios para la Calidad Educativa y la Investigación Científica (CECEIC)Mexico,,,,,,
Reporter,Centro Universitário CesucaBrazil,,,,,,
Reporter,Centurion University of Technology and ManagementIndia,,,,,,
Reporter,CESIFrance,,,,,,
Reporter,CETYS UniversidadMexico,,,,,,
Reporter,Chadli Bendjedid El Tarf UniversityAlgeria,,,,,,
Reporter,Charmo UniversityIraq,,,,,,
Reporter,Chernihiv Polytechnic National UniversityUkraine,,,,,,
Reporter,Cholistan University of Veterinary and Animal SciencesPakistan,,,,,,
Reporter,Cihan University - DuhokIraq,,,,,,
Reporter,Cihan University – ErbilIraq,,,,,,
Reporter,Cihan University SulaimaniyaIraq,,,,,,
Reporter,City University of MacauMacaoExplore,,,,,,
Reporter,"City University of Science and Information Technology, PeshawarPakistan",,,,,,
Reporter,Civil Aviation AcademyKazakhstan,,,,,,
Reporter,College of Business EducationTanzania,,,,,,
Reporter,Conservatoire for Dance and DramaUnited Kingdom,,,,,,
Reporter,Courtauld Institute of ArtUnited Kingdom,,,,,,
Reporter,Cranfield UniversityUnited Kingdom,,,,,,
Reporter,Daneshpajoohan Pishro Higher Education InstituteIran,,,,,,
Reporter,Dawood University of Engineering and TechnologyPakistan,,,,,,
Reporter,De La Salle – College of Saint BenildePhilippines,,,,,,
Reporter,"Delta State University, AbrakaNigeria",,,,,,
Reporter,Delta University for Science and TechnologyEgypt,,,,,,
Reporter,Denau Institute of Entrepreneurship and PedagogyUzbekistan,,,,,,
Reporter,Deraya UniversityEgypt,,,,,,
Reporter,Dhaka International UniversityBangladesh,,,,,,
Reporter,DHA Suffa UniversityPakistan,,,,,,
Reporter,Dhofar UniversityOman,,,,,,
Reporter,Dnipro University of TechnologyUkraine,,,,,,
Reporter,Donetsk National University of Economics and Trade named after Mykhailo Tuhan-Baranovsky (DonNUET)Ukraine,,,,,,
Reporter,Dovletmammet Azadi Turkmen National Institute of World LanguagesTurkmenistan,,,,,,
Reporter,D. Serikbayev East Kazakhstan Technical UniversityKazakhstan,,,,,,
Reporter,Duhok Polytechnic UniversityIraq,,,,,,
Reporter,EAE Business SchoolSpain,,,,,,
Reporter,East West UniversityBangladesh,,,,,,
Reporter,École Nationale PolytechniqueAlgeria,,,,,,
Reporter,École Nationale Supérieure AgronomiqueAlgeria,,,,,,
Reporter,"École Nationale Supérieure Agronomique, AlgiersAlgeria",,,,,,
Reporter,École Nationale Supérieure de Biotechnologie Taoufik Khaznadar (ENSB)Algeria,,,,,,
Reporter,École Nationale Supérieure de Journalisme et des Sciences de l’Information (ENSJSI)Algeria,,,,,,
Reporter,École Nationale Supérieure de Mécanique et des Microtechniques (ENSMM)France,,,,,,
Reporter,Ecole Nationale Supérieure d'HydrauliqueAlgeria,,,,,,
Reporter,École Nationale Supérieure d’Informatique (ESI)Algeria,,,,,,
Reporter,École Nationale Supérieure Vétérinaire d’AlgerAlgeria,,,,,,
Reporter,École National Polytechnique de ConstantineAlgeria,,,,,,
Reporter,École Normale Supérieure de BécharAlgeria,,,,,,
Reporter,École Normale Supérieure de BouzaréahAlgeria,,,,,,
Reporter,École Normale Supérieure de KoubaAlgeria,,,,,,
Reporter,École Normale Supérieure de LaghouatAlgeria,,,,,,
Reporter,École Normale Supérieure de OuarglaAlgeria,,,,,,
Reporter,École Normale Supérieure d’OranAlgeria,,,,,,
Reporter,École Normale Supérieure El Katiba Assia Djebar Constantine (ENSC)Algeria,,,,,,
Reporter,École Polytechnique d’Architecture et d’UrbanismeAlgeria,,,,,,
Reporter,École Supérieure de Comptabilité et de Finances de ConstantineAlgeria,,,,,,
Reporter,École Supérieure en Informatique 8 Mai 1945 de Sidi-Bel-AbbèsAlgeria,,,,,,
Reporter,École Supérieure en Sciences Appliquées de TlemcenAlgeria,,,,,,
Reporter,École Supérieure en Sciences et Technologies de l’Informatique et du Numérique (ESTIN)Algeria,,,,,,
Reporter,Ecotec UniversityEcuador,,,,,,
Reporter,Effat UniversitySaudi Arabia,,,,,,
Reporter,Egerton UniversityKenya,,,,,,
Reporter,Egyptian Russian UniversityEgypt,,,,,,
Reporter,EIA UniversityColombia,,,,,,
Reporter,Elmergib UniversityLibya,,,,,,
Reporter,Emir Abdelkader University of Islamic SciencesAlgeria,,,,,,
Reporter,Erbil Polytechnic UniversityIraq,,,,,,
Reporter,Escola Superior de Enfermagem do Porto (ESEP)Portugal,,,,,,
Reporter,Escuela Superior Politécnica de ChimborazoEcuador,,,,,,
Reporter,ESIC UniversitySpainExplore,,,,,,
Reporter,ESLSCA UniversityEgypt,,,,,,
Reporter,Eszterházy Károly Catholic UniversityHungary,,,,,,
Reporter,EURECOMFrance,,,,,,
Reporter,European UniversityGeorgia,,,,,,
Reporter,European University of ArmeniaArmenia,,,,,,
Reporter,"Evangel University, AkaezeNigeria",,,,,,
Reporter,Externado University of ColombiaColombia,,,,,,
Reporter,Falmouth UniversityUnited Kingdom,,,,,,
Reporter,Fatima Jinnah Women UniversityPakistan,,,,,,
Reporter,"Federal University of Petroleum Resources, EffurunNigeria",,,,,,
Reporter,Fergana Polytechnic InstituteUzbekistan,,,,,,
Reporter,Fergana State UniversityUzbekistan,,,,,,
Reporter,Finis Terrae UniversityChile,,,,,,
Reporter,Forman Christian CollegePakistan,,,,,,
Reporter,Francisk Skorina Gomel State UniversityBelarus,,,,,,
Reporter,Universidad Libre de ColombiaColombia,,,,,,
Reporter,Gangadhar Meher UniversityIndia,,,,,,
Reporter,Gautam Buddha UniversityIndia,,,,,,
Reporter,General Sir John Kotelawala Defence UniversitySri Lanka,,,,,,
Reporter,Gift UniversityPakistan,,,,,,
Reporter,Glasgow School of ArtUnited Kingdom,,,,,,
Reporter,Godfrey Okoye UniversityNigeria,,,,,,
Reporter,Gomel State Medical UniversityBelarus,,,,,,
Reporter,Government College Women University FaisalabadPakistan,,,,,,
Reporter,"Government College Women University, SialkotPakistan",,,,,,
Reporter,Grodno State Medical UniversityBelarus,,,,,,
Reporter,Guildhall School of Music and DramaUnited Kingdom,,,,,,
Reporter,Gulf CollegeOman,,,,,,
Reporter,Gulf Medical UniversityUnited Arab Emirates,,,,,,
Reporter,Gulf UniversityBahrain,,,,,,
Reporter,Gulf University for Science and TechnologyKuwaitExplore,,,,,,
Reporter,Gulistan State Pedagogical InstituteUzbekistan,,,,,,
Reporter,Gulistan State UniversityUzbekistan,,,,,,
Reporter,Habib UniversityPakistan,,,,,,
Reporter,Hagoromo University of International StudiesJapan,,,,,,
Reporter,Hakuoh UniversityJapan,,,,,,
Reporter,Häme University of Applied SciencesFinland,,,,,,
Reporter,Hanseo UniversitySouth Korea,,,,,,
Reporter,Harper Adams UniversityUnited Kingdom,,,,,,
Reporter,Hartpury UniversityUnited Kingdom,,,,,,
Reporter,Hasan Kalyoncu UniversityTurkey,,,,,,
Reporter,Hawler Medical UniversityIraq,,,,,,
Reporter,Hebron UniversityPalestine,,,,,,
Reporter,Higher School of Management – TlemcenAlgeria,,,,,,
Reporter,Hiroshima International UniversityJapan,,,,,,
Reporter,Hodeida UniversityYemen,,,,,,
Reporter,Ho Technical UniversityGhana,,,,,,
Reporter,Hryhorii Skovoroda University in PereiaslavUkraine,,,,,,
Reporter,Humboldt State UniversityUnited States,,,,,,
Reporter,Iași University of Life SciencesRomania,,,,,,
Reporter,IBADAT International University IslamabadPakistan,,,,,,
Reporter,"ICFAI University, DehradunIndia",,,,,,
Reporter,IFHE HyderabadIndia,,,,,,
Reporter,Iğdır UniversityTurkey,,,,,,
Reporter,Ilma UniversityPakistan,,,,,,
Reporter,Imam Ja’afar Al-Sadiq UniversityIraq,,,,,,
Reporter,IMT Mines AlèsFrance,,,,,,
Reporter,"Independent University, BangladeshBangladesh",,,,,,
Reporter,Information Technology University of the PunjabPakistan,,,,,,
Reporter,Institute of Agriculture and Agrotechnologies of KarakalpakstanUzbekistan,,,,,,
Reporter,Institute of Cancer ResearchUnited Kingdom,,,,,,
Reporter,"Institute of Engineering and Management, IndiaIndia",,,,,,
Reporter,University of Southern PunjabPakistan,,,,,,
Reporter,Institute of Telecommunications and Informatics of TurkmenistanTurkmenistan,,,,,,
Reporter,Instituto Superior de Ciências da Educação da HuílaAngola,,,,,,
Reporter,Instituto Superior de Ciências da Educação de BenguelaAngola,,,,,,
Reporter,Instituto Superior de Ciências da Educação do HuamboAngola,,,,,,
Reporter,Instituto Superior de Ciências de Educação de CabindaAngola,,,,,,
Reporter,Instituto Superior Politécnico do BiéAngola,,,,,,
Reporter,Instituto Superior Politécnico do Cuanza SulAngola,,,,,,
Reporter,Instituto Tecnológico de Buenos Aires (ITBA)Argentina,,,,,,
Reporter,Institut Teknologi Nasional Bandung (ITENAS Bandung)Indonesia,,,,,,
Reporter,Institut Teknologi PLNIndonesia,,,,,,
Reporter,International IT UniversityKazakhstan,,,,,,
Reporter,International University of ErbilIraq,,,,,,
Reporter,International University of RabatMorocco,,,,,,
Reporter,Interregional Academy of Personnel Management (IAPM)Ukraine,,,,,,
Reporter,Iqra UniversityPakistan,,,,,,
Reporter,"Islamic Azad University, Shahr-e-QodsIran",,,,,,
Reporter,Israel Technological UniversityEcuador,,,,,,
Reporter,İstanbul Nişantaşi UniversityTurkey,,,,,,
Reporter,Istanbul Okan UniversityTurkey,,,,,,
Reporter,IT STEP UniversityUkraine,,,,,,
Reporter,IUBAT – International University of Business Agriculture and TechnologyBangladesh,,,,,,
Reporter,Ivano-Frankivsk National Medical UniversityUkraine,,,,,,
Reporter,Jabir ibn Hayyan University for Medical and Pharmaceutical SciencesIraq,,,,,,
Reporter,Jadara UniversityJordan,,,,,,
Reporter,Jaramogi Oginga Odinga University of Science and TechnologyKenya,,,,,,
Reporter,"Jaypee University of Engineering and Technology, GunaIndia",,,,,,
Reporter,Jinnah Sindh Medical UniversityPakistan,,,,,,
Reporter,Jizzakh Polytechnic InstituteUzbekistan,,,,,,
Reporter,Jizzakh State Pedagogical UniversityUzbekistan,,,,,,
Reporter,John von Neumann UniversityHungary,,,,,,
Reporter,Kabarak UniversityKenya,,,,,,
Reporter,Kabardino-Balkarian State UniversityRussian Federation,,,,,,
Reporter,Kamianets-Podіlskyi Ivan Ohiienko National UniversityUkraine,,,,,,
Reporter,Karakalpak State UniversityUzbekistan,,,,,,
Reporter,Karshi Engineering Economics InstituteUzbekistan,,,,,,
Reporter,Karshi State UniversityUzbekistan,,,,,,
Reporter,Kazakh-British Technical UniversityKazakhstanExplore,,,,,,
Reporter,Kazakh National Women’s Teacher Training UniversityKazakhstan,,,,,,
Reporter,Kharkiv Humanitarian-Pedagogical AcademyUkraine,,,,,,
Reporter,Kharkiv International Medical UniversityUkraine,,,,,,
Reporter,Kharkiv National Automobile and Highway UniversityUkraine,,,,,,
Reporter,Kharkiv National University of Internal AffairsUkraine,,,,,,
Reporter,Khazar UniversityAzerbaijan,,,,,,
Reporter,Khemis Miliana UniversityAlgeria,,,,,,
Reporter,Kherson State Agrarian and Economic UniversityUkraine,,,,,,
Reporter,Kherson State Maritime AcademyUkraine,,,,,,
Reporter,Khmelnytskyi National UniversityUkraine,,,,,,
Reporter,Khyber Medical UniversityPakistan,,,,,,
Reporter,Kibabii UniversityKenya,,,,,,
Reporter,Kimyo International University in TashkentUzbekistan,,,,,,
Reporter,King Abdullah University of Science and Technology (KAUST)Saudi Arabia,,,,,,
Reporter,King Danylo UniversityUkraine,,,,,,
Reporter,King Edward Medical UniversityPakistan,,,,,,
Reporter,Kinnaird College for WomenPakistan,,,,,,
Reporter,Kisii UniversityKenya,,,,,,
Reporter,Kitami Institute of TechnologyJapan,,,,,,
Reporter,Klaipeda UniversityLithuania,,,,,,
Reporter,Knowledge UniversityIraq,,,,,,
Reporter,Kobe Gakuin UniversityJapan,,,,,,
Reporter,Kohsar University MurreePakistan,,,,,,
Reporter,Kokshetau State UniversityKazakhstan,,,,,,
Reporter,Komar University of Science and TechnologyIraq,,,,,,
Reporter,Komazawa UniversityJapan,,,,,,
Reporter,Konan UniversityJapan,,,,,,
Reporter,Koya UniversityIraq,,,,,,
Reporter,KPR Institute of Engineering and TechnologyIndia,,,,,,
Reporter,KTO Karatay UniversityTurkey,,,,,,
Reporter,Kumasi Technical UniversityGhana,,,,,,
Reporter,Kursk State Medical UniversityRussian Federation,,,,,,
Reporter,Central University of EuropeGeorgia,,,,,,
Reporter,Kuwait College of Science and Technology (KCST)Kuwait,,,,,,
Reporter,Kyiv National Economic UniversityUkraine,,,,,,
Reporter,Kyoai Gakuen UniversityJapan,,,,,,
Reporter,Kyoto Sangyo UniversityJapan,,,,,,
Reporter,Kyrgyz-Turkish Manas UniversityKyrgyzstan,,,,,,
Reporter,K. Zhubanov Aktobe Regional UniversityKazakhstan,,,,,,
Reporter,Lagos State University of EducationNigeria,,,,,,
Reporter,Lagos State University of Science and TechnologyNigeria,,,,,,
Reporter,La Salle University (Colombia)Colombia,,,,,,
Reporter,Law Enforcement Academy of the Republic of UzbekistanUzbekistan,,,,,,
Reporter,Lebanese French UniversityIraq,,,,,,
Reporter,Leeds Arts UniversityUnited Kingdom,,,,,,
Reporter,Leeds ConservatoireUnited Kingdom,,,,,,
Reporter,Leeds Trinity UniversityUnited Kingdom,,,,,,
Reporter,Lesya Ukrainka Volyn National UniversityUkraine,,,,,,
Reporter,Liaquat University of Medical and Health Sciences (LUMHS)Pakistan,,,,,,
Reporter,Libyan International Medical UniversityLibya,,,,,,
Reporter,Lincoln University CollegeMalaysia,,,,,,
Reporter,Liverpool Hope UniversityUnited Kingdom,,,,,,
Reporter,Liverpool Institute for Performing ArtsUnited Kingdom,,,,,,
Reporter,Liverpool School of Tropical MedicineUnited Kingdom,,,,,,
Reporter,London Academy of Music and Dramatic Art (LAMDA)United Kingdom,,,,,,
Reporter,London Business SchoolUnited Kingdom,,,,,,
Reporter,London School of Hygiene and Tropical MedicineUnited Kingdom,,,,,,
Reporter,Luis Amigó Catholic UniversityColombia,,,,,,
Reporter,Lutsk National Technical UniversityUkraine,,,,,,
Reporter,Luxor UniversityEgypt,,,,,,
Reporter,Lyceum-Northwestern UniversityPhilippines,,,,,,
Reporter,Maasai Mara UniversityKenya,,,,,,
Reporter,Machakos UniversityKenya,,,,,,
Reporter,Magtymguly Turkmen State UniversityTurkmenistan,,,,,,
Reporter,Mahatma Jyotiba Phule Rohilkhand UniversityIndia,,,,,,
Reporter,Malatya Turgut Ozal UniversityTurkey,,,,,,
Reporter,Malawi University of Science and Technology (MUST)Malawi,,,,,,
Reporter,Manila Central UniversityPhilippines,,,,,,
Reporter,Maritime University of SzczecinPoland,,,,,,
Reporter,M. Auezov South Kazakhstan UniversityKazakhstan,,,,,,
Reporter,Medizinische Hochschule HannoverGermany,,,,,,
Reporter,Middle East CollegeOman,,,,,,
Reporter,Middle East UniversityJordan,,,,,,
Reporter,Middle East University – LebanonLebanon,,,,,,
Reporter,Midocean UniversityComoros,,,,,,
Reporter,Millat Umidi UniversityUzbekistan,,,,,,
Reporter,Minhaj University LahorePakistan,,,,,,
